filename,word,pinyin,example,meaning
1_1.mp3,"比","bǐ","其两膝相比者，各隐卷底衣褶中","并列，靠近"
1_2.mp3,"比","bǐ","比其反也，则冻馁其妻子","及，等到（……的时候）"
1_3.mp3,"比","bǐ","心却比，男儿烈","比较"
2_1.mp3,"鄙","bǐ","蜀之鄙有二僧","边疆，边远的地方"
2_2.mp3,"鄙","bǐ","刿曰：肉食者鄙，未能远谋。","浅陋，目光短浅"
2_3.mp3,"鄙","bǐ","先帝不以臣卑鄙","社会地位低微，见识短浅"
3_1.mp3,"兵","bīng","兵革非不坚利也","兵器，武器"
3_2.mp3,"兵","bīng","沙场秋点兵","战士、士兵、军队"
3_3.mp3,"兵","bīng","况乃未休兵","战争"
4_1.mp3,"病","bìng","未果，寻病终","生病"
4_2.mp3,"病","bìng","圣人非所与熙也，寡人反取病焉","辱，耻辱"
5_1.mp3,"乘","chéng","虽乘奔御风，不以疾也","坐、驾（车）"
5_2.mp3,"乘","chéng","公与之乘","乘坐"
6_1.mp3,"持","chí","锐兵刃，彀弓弩，持满","拉"
6_2.mp3,"持","chí","屠乃奔倚其下，弛担持刀","拿着"
7_1.mp3,"从","cóng","从先人还家，于舅家见之","跟从，跟随"
7_2.mp3,"从","cóng","小惠未遍，民弗从也","听从，顺从"
7_3.mp3,"从","cóng","从小丘西行百二十步","自，由"
7_4.mp3,"从","cóng","鱼出游从容","与容连用：舒缓安闲，不慌不忙"
8_1.mp3,"达","dá","指通豫南，达于汉阴","到达"
8_2.mp3,"达","dá","不求闻达于诸侯","得志，显贵"
8_3.mp3,"达","dá","从乡之先达执经叩问","有道德，有学问（的人）"
9_1.mp3,"当","dāng","陈康肃公尧咨善射，当世无双","在（某时、某处）"
9_2.mp3,"当","dāng","当奖率三军","应当，应该"
9_3.mp3,"当","dāng","今当远离","将要，就要"
9_4.mp3,"当","dāng","卿今当涂掌事","掌管，主持"
10_1.mp3,"道","dào","伐竹取道，下见小潭，水尤清冽","路；途"
10_2.mp3,"道","dào","虽有至道，弗学，不知其善也","道理，规律，方法"
10_3.mp3,"道","dào","得道者多助，失道者寡助","道义"
10_4.mp3,"道","dào","此中人语云：不足为外人道也。","说，讲"
11_1.mp3,"得","dé","一狼得骨止","得到，获得"
11_2.mp3,"得","dé","天子先驱至，不得入","能够，可以"
11_3.mp3,"得","dé","所识穷乏者得我与","同德，感恩"
12_1.mp3,"尔","ěr","无他，但手熟尔","助词，相当于而已、罢了"
12_2.mp3,"尔","ěr","尔安敢轻吾射","代词，你（你们）"
12_3.mp3,"尔","ěr","尔来二十有一年矣","指示代词，这，那"
13_1.mp3,"伐","fá","伐竹取道，下见小潭","砍伐"
13_2.mp3,"伐","fá","十年春，齐师伐我","攻打，讨伐"
14_1.mp3,"犯","fàn","并皆暴犯百姓","侵害，危害"
14_2.mp3,"犯","fàn","若有作奸犯科及为忠善者","触犯，违犯"
15_1.mp3,"方","fāng","今齐地方千里，百二十城","方圆，周围"
15_2.mp3,"方","fāng","北方有侮臣者，愿借子杀之","区域，地方"
15_3.mp3,"方","fāng","今方来，吾欲辱之，何以也","将，将要"
16_1.mp3,"负","fù","帝感其诚，命夸娥氏二子负二山","背，以背载物"
16_2.mp3,"负","fù","皆生寒树，负势竞上","凭借，依仗，倚靠"
17_1.mp3,"赋","fù","刻唐贤今人诗赋于其上","一种文体"
18_1.mp3,"更","gēng","乡里皆谓已死，更相庆","交替，轮换，更换"
18_2.mp3,"更","gèng","湖中焉得更有此人","又，另，还"
19_1.mp3,"苟","gǒu","苟全性命于乱世","随便，马虎"
19_2.mp3,"苟","gǒu","故不为苟得也","勉强，不正当"
20_1.mp3,"故","gù","既克，公问其故","原因，缘故"
20_2.mp3,"故","gù","故天将降大任于是人也","所以，因此"
20_3.mp3,"故","gù","余故道为学之难以告之","特意"
21_1.mp3,"顾","gù","顾野有麦场","回头看，看，看见"
21_2.mp3,"顾","gù","三顾臣于草庐之中","拜访"
21_3.mp3,"顾","gù","人之立志，顾不如蜀鄙之僧哉","还，反而"
22_1.mp3,"观","guān","启窗而观","看，仔细看"
22_2.mp3,"观","guān","可远观而不可亵玩焉","观赏"
22_3.mp3,"观","guān","此则岳阳楼之大观也","景象"
23_1.mp3,"归","guī","朝而往，暮而归","归来，返回"
23_2.mp3,"归","guī","微斯人，吾谁与归","归属，归依"
23_3.mp3,"归","guī","男有分，女有归","女子出嫁"
24_1.mp3,"过","guò","群臣吏民能面刺寡人之过者，受上赏","过失，过错"
24_2.mp3,"过","guò","人恒过，然后能改","犯错"
24_3.mp3,"过","guò","以其境过清，不可久居","过分，过于"
25_1.mp3,"好","hǎo","好鸟相鸣，嘤嘤成韵","美丽的"
25_2.mp3,"好","hǎo","窈窕淑女，君子好逑","使人满意，与坏相对"
26_1.mp3,"号","háo","阴风怒号，浊浪排空","大叫，呼啸"
26_2.mp3,"号","hào","故自号曰醉翁也","称号，别号"
27_1.mp3,"还","huán","贫者自南海还，以告富者","返回"
27_2.mp3,"还","huán","计日以还","交还，归还"
28_1.mp3,"会","huì","迁客骚人，多会于此","会和，聚会，集会"
28_2.mp3,"会","huì","会宾客大宴","正好，恰好"
29_1.mp3,"惠","huì","小惠未遍，民弗从也","恩惠，给人以好处"
29_2.mp3,"惠","huì","甚矣，汝之不惠","同慧，聪明"
30_1.mp3,"及","jí","及郡下，谐太守，说如此","到，至"
30_2.mp3,"及","jí","君美甚，徐公何能及君也","比得上"
30_3.mp3,"及","jí","若有作奸犯科及为忠善者","以及，和，与"
31_1.mp3,"极","jí","渔歌互答，此乐何极","尽头，极点，穷尽"
31_2.mp3,"极","jí","然则北通巫峡，南极潇湘","到极点（直达）"
31_3.mp3,"极","jí","初极狭，才通人","很，非常"
32_1.mp3,"计","jì","通计一舟，为人五","计算，计量"
33_1.mp3,"济","jì","欲济无舟楫","渡"
34_1.mp3,"假","jiǎ","乃吾前狼假寐","不真实的，与真相对"
34_2.mp3,"假","jiǎ","是以人多以书假余","借"
35_1.mp3,"间","jiān","傅说举于版筑之间","中间"
35_2.mp3,"间","jiān","奉命于危难之间","期间"
35_3.mp3,"间","jiàn","数月之后，时时而间进","间或，偶尔"
35_4.mp3,"间","jiàn","中间力拉崩倒之声","夹杂，参与"
36_1.mp3,"简","jiǎn","盖简桃核修狭者为之","挑选，选拔"
37_1.mp3,"见","jiàn","见其发矢十中八九","看见，看到"
37_2.mp3,"见","jiàn","于是入朝见威王","拜见，谒见"
37_3.mp3,"见","xiàn","食不饱，力不足，才美不外见","同现，表露"
38_1.mp3,"竭","jié","一鼓作气，再而衰，三而竭","尽，完（耗尽，消失）"
38_2.mp3,"竭","jié","庶竭驽钝，攘除奸凶","全部用上"
39_1.mp3,"尽","jìn","林尽水源，使得一山","完，没有了"
39_2.mp3,"尽","jìn","至于斟酌损益，进尽忠言","全部，都（毫无保留）"
40_1.mp3,"进","jìn","是进亦忧，退亦忧","到朝廷，出来做官"
40_2.mp3,"进","jìn","进尽忠言","进献，奉献"
41_1.mp3,"居","jū","以其境过清，不可久居","停留"
41_2.mp3,"居","jū","面山而居","居住，安居"
41_3.mp3,"居","jū","居庙堂之高，则忧其民","处在，处于（某种地位或某个地方）"
